DropdownListID,OptionValue,Order
RolesList,Reader,1
RolesList,Reviewer,2
RolesList,Editor,3
RolesList,Controller,4
RolesList,Configurator,5
InvertTagOptions,On,1
InvertTagOptions,Off,2
RestrictedOptions,Restricted,1
RestrictedOptions,Not-Restricted,2
TagDescOptions,On,1
TagDescOptions,Off,2
DocAutoGenOptions,Yes,1
DocAutoGenOptions,No,2
DuplCheckOptions,On,1
DuplCheckOptions,Off,2
IDLockStatOptions,Unlocked,1
IDLockStatOptions,Locked,2
IsMandOptions,Yes,1
IsMandOptions,No,2
RetentionPeriodFixedValue,36,2
RetentionPeriodFixedValue,,1
